,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,public,8am-5pm daily,,,2022-01-10,,ELEC,Public,21402,2013-03-26,P,E,False,Los Angeles Harbor Department Headquarters,310-732-7678,2022-02-10T19:42:29Z,PARKING_LOT,200-9,33.740758,-118.28192,San Pedro,,,CA,425 S Palos Verdes St,90731,US,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
1,public,24 hours daily,,,2023-01-10,,ELEC,Public,103796,2018-09-01,T,E,False,LADWP - West 9th Street,800-342-5397,2023-02-14T15:54:11Z,UTILITY,200-9,33.735855,-118.289691,San Pedro,,,CA,579 W 9th St,90731,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
2,public,24 hours daily,,,2023-05-14,,ELEC,Public,144056,2019-08-24,,E,,582 W 6TH ST,855-900-7584,2023-05-14T00:38:14Z,,GPS,33.73881,-118.289712,Los Angeles,,,CA,582 W 6TH ST,90731,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1810'], 'posts': ['12288A']}",
3,public,24 hours daily,,,2023-05-14,,ELEC,Public,149583,2019-11-27,,E,,1215 N GAFFEY ST,855-900-7584,2023-05-14T00:38:14Z,,GPS,33.755127,-118.292375,Los Angeles,,,CA,1215 N GAFFEY ST,90731,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1801'], 'posts': ['12278A']}",
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,149584,2019-11-27,,E,,1208 N GAFFEY ST,855-900-7584,2023-05-14T00:38:14Z,,GPS,33.7551,-118.2922,Los Angeles,,,CA,1208 N GAFFEY ST,90731,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1809'], 'posts': ['12287A']}",
5,public,24 hours daily,,,2023-01-10,,ELEC,Public,152135,2018-10-01,LG,E,False,LADWP - Palos Verdes,,2023-02-14T15:54:11Z,UTILITY,200-8,33.734075,-118.281179,San Pedro,,,CA,1114 S Palos Verdes St,90731,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
6,public,24 hours daily,,,2023-01-10,,ELEC,Public,152137,2018-08-15,SG,E,False,LADWP - Pacific,,2023-02-14T15:54:11Z,UTILITY,200-8,33.723761,-118.28779,San Pedro,,,CA,2224 S Pacific Ave,90731,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
7,public,24 hours daily,,,2023-01-10,,ELEC,Public,152139,2018-08-15,LG,E,False,LADWP - Pacific B,,2023-02-14T15:54:11Z,UTILITY,200-8,33.707394,-118.287742,San Pedro,,,CA,4022 S Pacific Ave,90731,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
8,private,,GOVERNMENT,,2021-02-22,,ELEC,Private - Government only,184393,2021-01-15,FG,E,,Fort MacAurther (LAAFB),,2021-08-04T00:01:52Z,FED_GOV,GPS,33.723321,-118.285469,San Pedro,,,CA,Old Fort Rd,90731,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,,"{'id': 5, 'code': 'DAF', 'name': 'Department of Air Force'}"
9,private,,GOVERNMENT,,2021-02-22,,ELEC,Private - Government only,184580,2021-01-15,FG,E,,Base La/LB,,2021-08-04T00:01:52Z,FED_GOV,GPS,33.726417,-118.268574,San Pedro,,,CA,1001 South Seaside Ave,90731,US,,,,,,,,,,,,"['J1772', 'J1772COMBO']",6.0,,6.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,,"{'id': 10, 'code': 'DHS', 'name': 'Department of Homeland Security'}"
