,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids
0,public,24 hours daily,,,2023-05-14,,ELEC,Public,159122,2020-06-12,,E,,CROSSROADS ATRIUM #9,888-758-4389,2023-05-14T00:14:41Z,,GPS,34.030665,-118.016112,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL807081'], 'posts': ['1071741', '1071751']}"
1,public,24 hours daily,,,2023-05-14,,ELEC,Public,159160,2020-06-12,,E,,CROSSROADS 12851 #8,888-758-4389,2023-05-14T00:14:27Z,,GPS,34.029812,-118.021489,City of Industry,,,CA,12851 Crossroads Pkwy S,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL786651'], 'posts': ['1044691', '1044701']}"
2,public,24 hours daily,,,2023-05-14,,ELEC,Public,159177,2020-06-12,,E,,CROSSROADS 12801 #1,888-758-4389,2023-05-14T00:14:16Z,,GPS,34.0294,-118.025272,City of Industry,,,CA,12801 Crossroads Pkwy S,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL778911'], 'posts': ['1034461', '1034471']}"
3,public,24 hours daily,,,2023-05-14,,ELEC,Public,176629,2021-01-27,,E,,CROSSROADS ATRIUM #5,888-758-4389,2023-05-14T00:14:50Z,,GPS,34.030404,-118.01603,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816391'], 'posts': ['22038661']}"
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,176630,2021-01-27,,E,,CROSSROADS ATRIUM #12,888-758-4389,2023-05-14T00:14:50Z,,GPS,34.030631,-118.016357,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816381'], 'posts': ['1084471', '1084481']}"
5,public,24 hours daily,,,2023-05-14,,ELEC,Public,176631,2021-01-27,,E,,CROSSROADS ATRIUM #13,888-758-4389,2023-05-14T00:14:50Z,,GPS,34.030626,-118.016415,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816371'], 'posts': ['1084451', '1084461']}"
6,public,24 hours daily,,,2023-05-14,,ELEC,Public,176632,2021-01-27,,E,,CROSSROADS ATRIUM #15,888-758-4389,2023-05-14T00:14:50Z,,GPS,34.030611,-118.016499,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816361'], 'posts': ['1084431', '1084441']}"
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,176633,2021-01-27,,E,,CROSSROADS ATRIUM #16,888-758-4389,2023-05-14T00:14:50Z,,GPS,34.030608,-118.016561,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816351'], 'posts': ['1084411', '1084421']}"
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,176634,2021-01-27,,E,,CROSSROADS ATRIUM #17,888-758-4389,2023-05-14T00:14:49Z,,GPS,34.0306,-118.016619,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816341'], 'posts': ['1084391', '1084401']}"
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,176635,2021-01-27,,E,,CROSSROADS ATRIUM #18,888-758-4389,2023-05-14T00:14:49Z,,GPS,34.030601,-118.016649,City of Industry,,,CA,13181 Crossroads Parkway N,91746,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL816311'], 'posts': ['1084351', '1084361']}"
