,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
0,public,5:30am-9pm; pay lot,,,2023-01-10,,ELEC,Public,1523,1995-08-30,P,E,False,Los Angeles Convention Center,213-741-1151,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.040539,-118.271387,Los Angeles,West hall and South hall,,CA,1201 S Figueroa St,90015,US,,,,,,,,,,,,['J1772'],,,7.0,Non-Networked,,,Free; parking fee,,,,,,,,,,,,,,,,,,,,,,Public,,,
1,private,Fleet use only,,,2023-01-10,,ELEC,Private,33178,1999-10-15,LG,E,,LADWP - Central District,,2023-02-15T22:45:41Z,UTILITY,200-8,34.033898,-118.256673,Los Angeles,North of 15th St,,CA,1350 S Wall St,90015,US,,,,,,,,,,,,['J1772'],,,21.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
2,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,39906,2011-03-15,P,E,False,Nissan of Downtown Los Angeles,213-748-4501,2023-02-15T22:45:41Z,CAR_DEALER,200-9,34.035168,-118.273229,Los Angeles,,,CA,635 W Washington Blvd,90015,US,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
3,private,,,,2020-06-09,,ELEC,Private,48129,2011-03-15,P,E,,Nissan of Downtown Los Angeles,213-748-4501,2023-02-15T22:45:41Z,CAR_DEALER,200-9,34.035168,-118.273229,Los Angeles,,,CA,635 W Washington Blvd,90015,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
4,private,Employee use only,,,2021-02-22,,ELEC,Private,94767,2016-01-07,FG,E,,Federal Reserve Bank,,2021-03-11T23:22:17Z,FED_GOV,200-9,34.043338,-118.259389,Los Angeles,,,CA,950 S Grand Ave,90015,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,"{'id': 18, 'code': 'DTS', 'name': 'Department of Treasury'}",
5,public,24 hours daily,,,2023-01-10,,ELEC,Public,103780,2018-09-01,T,E,False,LADWP - Georgia Street,800-342-5397,2023-02-14T15:54:11Z,UTILITY,200-8,34.035847,-118.273342,Los Angeles,,,CA,1814 Georgia St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
6,public,24 hours daily,,,2023-01-10,,ELEC,Public,103782,2018-09-01,T,E,False,LADWP - Georgia Street,800-342-5397,2023-02-14T15:54:11Z,UTILITY,200-8,34.036868,-118.272685,Los Angeles,,,CA,1728 7/8 Georgia St,90015,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
7,public,,,,2022-10-06,,ELEC,Public,113077,2015-08-10,P,E,,Met Lofts Parking Garage - Tesla Destination,888-369-8321  877-798-3752,2023-01-18T15:15:20Z,PARKING_GARAGE,200-9,34.042799,-118.262703,Los Angeles,,,CA,1050 S Flower St,90015,US,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['513257']}
8,public,,,,2022-10-06,,ELEC,Public,113103,2014-08-07,P,E,,Ace Hotel Los Angeles - Tesla Destination,760-325-9900  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,34.041963,-118.256607,Los Angeles,,,CA,929 South Broadway,90015,US,,,,,,,,,,,,['TESLA'],,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['510966']}
9,public,,,,2022-10-06,,ELEC,Public,113105,2018-05-11,P,E,,Hotel Figueroa - Tesla Destination,213-627-8971  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,34.045531,-118.264006,Los Angeles,,,CA,939 S Figueroa St,90015,US,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['510863']}
10,public,24 hours daily; for Tesla use only,,,2022-10-03,,ELEC,Public,122275,2019-03-01,P,E,,Hotel Indigo Los Angeles Downtown - Tesla Supercharger,877-798-3752,2022-12-01T17:40:26Z,,GPS,34.04753,-118.264429,Los Angeles,,,CA,899 South Francisco Street,90015,US,,,,,,,,,,,,['TESLA'],10.0,,,Tesla,https://www.tesla.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['4005']}
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,143118,2019-08-14,,E,,248 E 9TH ST,855-900-7584,2023-05-14T00:38:14Z,,GPS,34.040344,-118.253795,Los Angeles,,,CA,248 E 9TH ST,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1814'], 'posts': ['12292A']}"
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,146921,2019-10-12,,E,,1204 S Hill St,855-900-7584,2023-05-14T00:38:07Z,,GPS,34.038665,-118.261251,Los Angeles,,,CA,1204 S Hill St,90015,US,,,,,,,,,,,,['J1772'],,,2.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1289'], 'posts': ['12926', '12933']}"
13,public,24 hours daily,,,2023-05-14,,ELEC,Public,149890,2019-12-11,,E,,931 S GRAND AVE,855-900-7584,2023-05-14T00:38:13Z,,GPS,34.043908,-118.259926,Los Angeles,,,CA,931 S GRAND AVE,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1748'], 'posts': ['12242A']}"
14,public,,,,2022-10-06,,ELEC,Public,150494,2015-04-15,P,E,,Courtyard Los Angeles L.A. Live - Tesla Destination,231-443-9200  877-798-3752,2023-01-18T15:15:20Z,,200-9,34.046049,-118.266185,Los Angeles,,,CA,901 W Olympic Blvd,90015,US,,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['506459']}
15,public,,,,2022-10-06,,ELEC,Public,150495,2015-04-15,P,E,,Residence Inn Los Angeles L.A. Live - Tesla Destination,213-443-9200  877-798-3752,2023-01-18T15:15:20Z,,200-9,34.046119,-118.266227,Los Angeles,,,CA,901 W Olympic Boulevard,90015,US,,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,{'station': ['506463']}
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,152291,2020-01-08,,E,,1121 S SAN PEDRO ST,855-900-7584,2023-05-14T00:38:12Z,,GPS,34.035029,-118.252463,Los Angeles,,,CA,1121 S SAN PEDRO ST,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,,"{'station': ['1723'], 'posts': ['12254A']}"
17,public,24 hours daily,,,2023-05-14,2022-12-08,ELEC,TEMPORARILY UNAVAILABLE (Public),152363,2020-01-10,,T,,18002 W NORDHOFF ST,855-900-7584,2023-05-14T00:38:12Z,,GPS,34.235624,-118.525409,Los Angeles,,,CA,18002 W NORDHOFF ST,90015,US,,,,,,,,,,,,['J1772'],,,1.0,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,"{'station': ['1733'], 'posts': ['12231A']}"
