,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids
0,public,24 hours daily; pay lot; see valet for access,,,2023-01-10,,ELEC,Public,7172,2012-05-04,P,E,False,Hyatt Regency Long Beach,562-491-1234,2023-02-14T15:54:11Z,HOTEL,GPS,33.7637,-118.192,Long Beach,,,CA,200 S Pine Ave,90802,US,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,
1,public,24 hours daily; for guest use only; see valet for access; pay lot,,,2022-01-10,,ELEC,Public,70358,2015-06-01,P,E,True,Renaissance Hotel - Long Beach,562-437-5900,2022-04-28T20:01:31Z,HOTEL,200-9,33.767531,-118.191749,Long Beach,,,CA,111 E Ocean Blvd,90802,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,
2,public,,,,2022-10-06,,ELEC,Public,113072,2022-07-14,P,E,,Renaissance Long Beach Hotel - Tesla Destination,562-437-5900  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,33.767198,-118.191987,Long Beach,,,CA,111 E Ocean Blvd,90802,US,,,,,,,,,,,,['TESLA'],,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['513321']}
3,public,,,,2022-10-06,,ELEC,Public,113074,2016-11-22,P,E,,"Hotel Maya, a Doubletree by Hilton - Tesla Destination",562-435-7676  877-798-3752,2023-01-18T15:15:20Z,HOTEL,200-9,33.757146,-118.19861,Long Beach,,,CA,700 Queensway Dr,90802,US,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['500278']}
4,public,,,,2023-05-13,,ELEC,Public,131341,2019-07-18,,E,,100 Oceangate,888-998-2546,2023-05-13T23:58:38Z,,GPS,33.766646,-118.198731,Long Beach,Underground Parking Garage||,,CA,100 Oceangate,90802,US,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['465ba1dd-d734-8158-93cc-330000458451'], 'posts': ['465ba1dd-d734-8158-93cc-330000708651', '465ba1dd-d734-8158-93cc-330000714078']}"
5,public,24 hours daily,,,2023-05-14,,ELEC,Public,156150,2020-05-09,,E,,THE CREST STATION 2,888-758-4389,2023-05-14T00:19:11Z,,GPS,33.766037,-118.190634,Long Beach,,,CA,207 E Seaside Way,90802,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2080681'], 'posts': ['2477371']}"
6,public,24 hours daily,,,2023-05-14,,ELEC,Public,156294,2020-05-15,,E,,THE CREST STATION 4,888-758-4389,2023-05-14T00:19:11Z,,GPS,33.766104,-118.190216,Long Beach,,,CA,235 E Seaside Way,90802,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2080601'], 'posts': ['2477291']}"
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,158752,2020-06-12,,E,,LONG BEACH PIKE 3,888-758-4389,2023-05-14T00:18:07Z,,GPS,33.76556,-118.195875,Long Beach,,,CA,65 S. Cedar Ave,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2004971'], 'posts': ['2377901', '2377911']}"
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,159006,2020-06-12,,E,,SHORELINE SQ STATION 02,888-758-4389,2023-05-14T00:15:54Z,,GPS,33.767708,-118.189026,Long Beach,,,CA,301 E Ocean Blvd,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1821921'], 'posts': ['2139651', '2139661']}"
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,159037,2020-06-12,,E,,LONG BEACH PIKE 12,888-758-4389,2023-05-14T00:15:41Z,,GPS,33.76565,-118.195961,Long Beach,,,CA,65 Cedar Walk,90802,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1801041'], 'posts': ['2112401']}"
10,public,24 hours daily,,,2023-05-14,,ELEC,Public,159082,2020-06-12,,E,,LONG BEACH CITY PLACE B DC,888-758-4389,2023-05-14T00:15:09Z,,GPS,33.772393,-118.191226,Long Beach,,,CA,50 E 5th St,90802,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1747721'], 'posts': ['2045671']}"
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,159095,2020-06-12,,E,,LONG BEACH LBMA 1,888-758-4389,2023-05-14T00:15:04Z,,GPS,33.763765,-118.165712,Long Beach,,,CA,2230 E Ocean Blvd,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1728811'], 'posts': ['2023941', '2023951']}"
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,159120,2020-06-12,,E,,LONG BEACH BROADWAY 2FL 01,888-758-4389,2023-05-14T00:23:33Z,,GPS,33.768932,-118.195434,Long Beach,,,CA,332 W Broadway,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5547491'], 'posts': ['22717411', '22717421']}"
13,public,24 hours daily,,,2023-05-14,,ELEC,Public,159165,2020-06-12,,E,,BURANO APARTMEN STATION 2,888-758-4389,2023-05-14T00:14:25Z,,GPS,33.766352,-118.197584,Long Beach,,,CA,442 W Ocean Blvd,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL784351'], 'posts': ['2394351', '2394361']}"
14,public,24 hours daily,,,2023-05-14,,ELEC,Public,159362,2020-06-12,,E,,JOHN HANCOCK LMARK EV5 EV6,888-758-4389,2023-05-14T00:12:31Z,,GPS,33.767311,-118.192861,Long Beach,,,CA,111 W Ocean Blvd,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL607791'], 'posts': ['823221', '823231']}"
15,public,24 hours daily,,,2023-05-14,,ELEC,Public,159886,2020-06-12,,E,,LONG BEACH CT PLACE C 07,888-758-4389,2023-05-14T00:09:06Z,,GPS,33.771258,-118.190961,Long Beach,,,CA,119 E 3rd St,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL197419'], 'posts': ['22941201', '22941211']}"
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,160246,2020-06-12,,E,,COLONY 8 P1 STATION 1,888-758-4389,2023-05-14T00:07:19Z,,GPS,33.764097,-118.199261,Long Beach,,,CA,322 Golden Shore,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL158243'], 'posts': ['16133341', '16133351']}"
17,public,24 hours daily,,,2023-05-14,,ELEC,Public,160675,2020-06-12,,E,,QUEENSBAY HOTEL MAYA,888-758-4389,2023-05-14T00:05:17Z,,GPS,33.757302,-118.199211,Long Beach,,,CA,701-775 Queensway Dr,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL121623'], 'posts': ['2288451', '2288461']}"
18,public,24 hours daily,,,2023-05-14,,ELEC,Public,161170,2020-06-12,,E,,133 PROMENADE 133 PROMENADE#1,888-758-4389,2023-05-14T00:02:46Z,,GPS,33.768655,-118.191337,Long Beach,,,CA,133 The Promenade N,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL95031'], 'posts': ['107815', '107817']}"
19,public,24 hours daily,,,2023-05-14,2022-12-09,ELEC,TEMPORARILY UNAVAILABLE (Public),164065,2020-07-09,,T,,LONG BEACH LONG BEACH QM05,888-758-4389,2023-05-14T00:21:12Z,,GPS,33.7526,-118.19079,Long Beach,,,CA,1126 Queens Hwy,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL5360101'], 'posts': ['8945491', '8945501']}"
20,public,24 hours daily,,,2023-05-14,,ELEC,Public,164066,2020-07-09,,E,,LONG BEACH LONG BEACH QM02,888-758-4389,2023-05-14T00:21:12Z,,GPS,33.75235,-118.190919,Long Beach,,,CA,1135 Queens Hwy,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5360061'], 'posts': ['8945411', '8945421']}"
21,public,24 hours daily,,,2023-05-14,,ELEC,Public,164446,2020-07-23,,E,,LONG BEACH CONVENTION CTR1,888-758-4389,2023-05-14T00:21:30Z,,GPS,33.765167,-118.187721,Long Beach,,,CA,400 E Seaside Way,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5383291'], 'posts': ['8974761', '8974771']}"
22,public,24 hours daily,,,2023-05-14,2023-04-15,ELEC,TEMPORARILY UNAVAILABLE (Public),164578,2020-07-28,,T,,LONG BEACH AQUARIUM 03,888-758-4389,2023-05-14T00:21:37Z,,GPS,33.76354,-118.196695,Long Beach,,,CA,99 Golden Shore,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['USCPIL5390151'], 'posts': ['8983771', '8983781']}"
23,public,24 hours daily,,,2023-05-14,,ELEC,Public,166998,2020-09-23,,E,,LONG BEACH AQUARIUM 10,888-758-4389,2023-05-14T00:22:20Z,,GPS,33.76369,-118.196088,Long Beach,,,CA,99 Aquarium Way,90802,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL5452181'], 'posts': ['9061591', '9061601']}"
24,public,,,,2022-10-06,,ELEC,Public,169172,2017-04-06,P,E,,The Current Living - Tesla Destination,  877-798-3752,2023-01-18T15:15:20Z,,200-8,33.766268,-118.183706,Long Beach,,,CA,707 East Ocean Boulevard,90802,US,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['501014']}
