,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,public,24 hours daily,,,2023-05-03,,ELEC,Public,70006,2014-09-01,P,E,False,Good Samaritan Hospital - Level 3,213-977-2121,2023-05-03T20:36:28Z,HOSPITAL,GPS,34.055329,-118.267077,Los Angeles,,,CA,1317 Shatto St,90017,US,,,,,,,,,,,,['J1772'],,,11.0,Non-Networked,,,$10 parking fee,,,,,,,,,,,,,,,,,,,,,,Public,,,
1,public,Garage business hours,CALL,,2023-05-03,,ELEC,Public - Call ahead,70011,2015-07-01,P,E,False,Good Samaritan Hospital - Level 2,213-977-2121,2023-05-03T20:36:28Z,HOSPITAL,GPS,34.053453,-118.264153,Los Angeles,,,CA,636 Lucas Ave,90017,US,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,$8 parking fee in garage,,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
2,public,24 hours daily,,,2023-01-10,,ELEC,Public,76705,2016-03-01,T,E,False,LADWP - Joint Service Center,,2023-02-15T22:45:41Z,UTILITY,200-9,34.057008,-118.259212,Los Angeles,,,CA,1230 W 3rd St,90017,US,,,,,,,,,,,,['CHADEMO'],1.0,,,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
3,private,Fleet and employee use only,,,2023-01-10,,ELEC,Private,105198,2016-03-01,T,E,,LADWP - Joint Service Center,,2023-02-15T22:45:41Z,UTILITY,200-9,34.057008,-118.259212,Los Angeles,,,CA,1230 W 3rd St,90017,US,,,,,,,,,,,,['J1772'],,,14.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,105489,2018-12-26,,E,,Joint Service Center,855-900-7584,2023-05-14T00:38:07Z,,GPS,34.056743,-118.259166,Los Angeles,,,CA,1230 W. 3rd St,90017,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1306'], 'posts': ['53026']}",
5,public,24 hours daily,,,2023-05-14,,ELEC,Public,158695,2020-06-12,,E,,BROOKFIELD OFC LVL 7 SEC C 08,888-758-4389,2023-05-14T00:18:31Z,,GPS,34.049437,-118.262241,Los Angeles,,,CA,1001 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2035051'], 'posts': ['22067041']}",
6,public,24 hours daily,,,2023-05-14,,ELEC,Public,159135,2020-06-12,,E,,ONNI 600 EV17,888-758-4389,2023-05-14T00:14:38Z,,GPS,34.047971,-118.256332,Los Angeles,,,CA,600 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL801521'], 'posts': ['1064171', '1064181']}",
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,159604,2020-06-12,,E,,WGC EVCS STATION 07,888-758-4389,2023-05-14T00:11:00Z,,GPS,34.050057,-118.260385,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL384161'], 'posts': ['2303521']}",
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,159960,2020-06-12,,E,,BROOKFIELD WEST 601 S FIG EV1,888-758-4389,2023-05-14T00:08:41Z,,GPS,34.050617,-118.259447,Los Angeles,,,CA,601 S Figueroa St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL187761'], 'posts': ['253295']}",
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,160006,2020-06-12,,E,,WGC EVCS STATION 01,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050714,-118.260492,Los Angeles,,,CA,978-992 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184733'], 'posts': ['249151']}",
10,public,24 hours daily,,,2023-05-14,,ELEC,Public,160017,2020-06-12,,E,,SEIU LOCAL 721 STATION 01,888-758-4389,2023-05-14T00:08:31Z,,GPS,34.055625,-118.269713,Los Angeles,,,CA,1545 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL183945'], 'posts': ['248225', '248227']}",
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,160076,2020-06-12,,E,,10557TH STATION 1,888-758-4389,2023-05-14T00:08:12Z,,GPS,34.050837,-118.263032,Los Angeles,,,CA,1055 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL178623'], 'posts': ['240325', '240327']}",
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,160951,2020-06-12,,E,,BROOKFIELD OFC LVL 7 SEC C 1-2,888-758-4389,2023-05-14T00:03:42Z,,GPS,34.050001,-118.261721,Los Angeles,,,CA,945 W. 8th Street,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL108277'], 'posts': ['21132771', '21132781']}",
13,public,,,,2022-10-06,,ELEC,Public,169087,2017-04-06,P,E,,Samaritan Medical Tower - Tesla Destination,818-350-6093  877-798-3752,2023-01-18T15:15:20Z,,200-9,34.052867,-118.264138,Los Angeles,,,CA,1127 Wilshire Boulevard,90017,US,,,,,,,,,,,,['TESLA'],,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['512568']},
14,public,24 hours daily,,,2023-05-14,,ELEC,Public,175883,2021-01-27,,E,,BROOKFIELD OFC LVL 7 SEC C 05,888-758-4389,2023-05-14T00:18:30Z,,GPS,34.049482,-118.262197,Los Angeles,,,CA,1001 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2032551'], 'posts': ['2412881']}",
15,public,24 hours daily,,,2023-05-14,,ELEC,Public,175884,2021-01-27,,E,,BROOKFIELD OFC LVL 7 SEC C 06,888-758-4389,2023-05-14T00:15:16Z,,GPS,34.061239,-118.250583,Los Angeles,,,CA,1001 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1757101'], 'posts': ['9060131']}",
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,175885,2021-01-27,,E,,BROOKFIELD OFC LVL 7 SEC C 07,888-758-4389,2023-05-14T00:18:31Z,,GPS,34.063742,-118.247857,Los Angeles,,,CA,1001 W 7th St,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2034241'], 'posts': ['21998151']}",
17,public,24 hours daily,,,2023-05-14,,ELEC,Public,176661,2021-01-27,,E,,ONNI 600 EV18,888-758-4389,2023-05-14T00:13:06Z,,GPS,34.04812,-118.256534,Los Angeles,,,CA,600 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL697611'], 'posts': ['928971', '928981']}",
18,public,24 hours daily,,,2023-05-14,,ELEC,Public,177652,2021-01-27,,E,,WGC EVCS STATION 08,888-758-4389,2023-05-14T00:11:00Z,,GPS,34.05011,-118.260449,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL384151'], 'posts': ['521711']}",
19,public,24 hours daily,,,2023-05-14,,ELEC,Public,177653,2021-01-27,,E,,WGC EVCS STATION 09,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050057,-118.26046,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184795'], 'posts': ['249217']}",
20,public,24 hours daily,,,2023-05-14,,ELEC,Public,177654,2021-01-27,,E,,WGC EVCS STATION 03,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050661,-118.26038,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184741'], 'posts': ['249159']}",
21,public,24 hours daily,,,2023-05-14,,ELEC,Public,177655,2021-01-27,,E,,WGC EVCS STATION 10,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050394,-118.259996,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184703'], 'posts': ['249121']}",
22,public,24 hours daily,,,2023-05-14,,ELEC,Public,177656,2021-01-27,,E,,WGC EVCS STATION 05,888-758-4389,2023-05-14T00:08:34Z,,GPS,34.050572,-118.260264,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184567'], 'posts': ['248919']}",
23,public,24 hours daily,,,2023-05-14,,ELEC,Public,177657,2021-01-27,,E,,WGC EVCS STATION 06,888-758-4389,2023-05-14T00:08:32Z,,GPS,34.050501,-118.260143,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184553'], 'posts': ['248897']}",
24,public,24 hours daily,,,2023-05-14,,ELEC,Public,177658,2021-01-27,,E,,WGC EVCS STATION 04,888-758-4389,2023-05-14T00:08:32Z,,GPS,34.050652,-118.260385,Los Angeles,,,CA,900 Wilshire Blvd,90017,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL184551'], 'posts': ['248895']}",
