,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
0,public,24 hours daily,,,2023-05-14,,ELEC,Public,100063,2018-08-02,,E,,16851 Victory Blvd,855-900-7584,2023-05-14T00:38:05Z,,GPS,34.186875,-118.500468,Los Angeles,,,CA,16851 Victory Blvd,91406,US,,,,,,,,,,,,['J1772'],,,1,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1148'], 'posts': ['12908']}",
1,public,,,,2022-10-06,,ELEC,Public,113498,2016-03-21,P,E,,Signature Flight Support Van Nuys East - Tesla Destination,818-989-2300  877-798-3752,2023-01-18T15:15:20Z,AIRPORT,200-9,34.2005566,-118.4872569,Van Nuys,,,CA,7155 Valjean Ave,91406,US,,,,,,,,,,,,['TESLA'],,,4,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['499864']},
2,public,,,,2023-05-14,,ELEC,Public,123217,2019-04-01,,E,,Central Unified School,866-816-7584,2023-05-14T01:24:21Z,,GPS,36.796668,-119.91536,Fresno,,,CA,4200 S. Grantland Ave,91406,US,,,,,,,,,,,,['J1772'],,,2,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['309726ef-0cb7-456e-b635-ca9d190c64c6'], 'posts': ['63340367769d34776391ecbf', '63340367769d34776391ed4a']}",
3,public,24 hours daily,,,2023-05-14,,ELEC,Public,144237,2019-08-30,,E,,7204 RUBIO AVE,855-900-7584,2023-05-14T00:38:13Z,,GPS,34.201403,-118.495607,Los Angeles,,,CA,7204 N RUBIO AVE,91406,US,,,,,,,,,,,,['J1772'],,,1,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1790'], 'posts': ['12268A']}",
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,152903,2020-01-23,,E,,7614 N Louise Ave,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.20884905,-118.5097461,Los Angeles,,,CA,7614 N Louise Ave,91406,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10272']},
5,public,24 hours daily,,,2023-05-14,,ELEC,Public,152966,2020-01-23,,E,,6813 N Hayvenhurst Ave,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.19392,-118.492425,Lake Balboa,,,CA,6813 N Hayvenhurst Ave,91406,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10203']},
6,public,24 hours daily,,,2023-05-14,,ELEC,Public,153131,2020-01-29,,E,,7537 Balboa Blvd,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.20754449,-118.5012885,Los Angeles,,,CA,7537 Balboa Blvd,91406,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10310']},
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,154255,2020-03-03,,E,,7224 Valjean Ave,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.20196403,-118.4858167,Van Nuys,,,CA,7224 Valjean Ave,91406,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10293']},
8,private,24 hours daily; Also accepts Paypal,,A D M V,2020-04-08,,ELEC,Private,155036,2019-08-30,P,E,,Baxalta Los Angeles,,2021-03-11T23:22:17Z,FACTORY,GPS,34.216253,-118.4794636,Van Nuys,,,CA,15903 Strathern St,91406,US,,,,,,,,,,,,['J1772'],,,2,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,155198,2020-04-04,,E,,17415 Vanowen St,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.19379881,-118.5124659,Lake Balboa,,,CA,17415 Vanowen St,91406,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10237']},
