,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids
0,public,Dealership business hours,CALL,,2022-02-10,,ELEC,Public - Call ahead,39907,2011-03-15,P,E,False,Universal City Nissan,818-769-8100,2022-02-10T19:42:29Z,CAR_DEALER,200-9,34.133446,-118.356601,Los Angeles,,,CA,3550 Cahuenga Blvd W,90068,US,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,2,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,
1,private,,,,2022-02-10,,ELEC,Private,48120,2011-03-15,P,E,,Universal City Nissan,818-769-8100,2022-02-10T19:42:29Z,CAR_DEALER,200-9,34.133446,-118.356601,Los Angeles,,,CA,3550 Cahuenga Blvd W,90068,US,,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,
2,public,,,,2022-10-06,,ELEC,Public,113496,2017-07-24,P,E,,Universal CityWalk Parking (Frankenstein Garage) - Tesla Destination,818-622-9841  877-798-3752,2023-01-18T15:15:20Z,PARKING_GARAGE,200-8,34.135763,-118.352967,Universal City,,,CA,333 Universal Hollywood Dr,90068,US,,,,,,,,,,,,"['J1772', 'TESLA']",,,2,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['506499']}
3,public,24 hours daily,,,2023-05-14,2023-05-08,ELEC,TEMPORARILY UNAVAILABLE (Public),149581,2019-11-27,,T,,3413 CAHUENGA BLVD,855-900-7584,2023-05-14T00:38:12Z,,GPS,34.131788,-118.352482,Studio CIty,,,CA,3413 CAHUENGA BLVD,90068,US,,,,,,,,,,,,['J1772'],,,1,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,"{'station': ['1732'], 'posts': ['12240A']}"
4,public,24 hours daily,,,2023-05-14,,ELEC,Public,152949,2020-01-23,,E,,6510 Forest Lawn Drive,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.14658529,-118.3334385,Los Angeles,,,CA,6510 Forest Lawn Drive,90068,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10321']}
5,public,24 hours daily,,,2023-05-14,,ELEC,Public,154284,2020-03-04,,E,,3619 Regal Pl,888-356-8911,2023-05-14T01:04:02Z,,GPS,34.13377975,-118.3630789,Los Angeles,,,CA,3619 Regal Pl,90068,US,,,,,,,,,,,,['J1772'],,,1,FLO,https://flo.ca/,,,,,,,,,,,,,,,,,,,,,,,,Public,,{'posts': ['AUI-10304']}
6,public,24 hours daily,,,2023-05-14,,ELEC,Public,159034,2020-06-12,,E,,6080 CENTER DR HHC19-6080,888-758-4389,2023-05-14T00:15:42Z,,GPS,33.976023,-118.391932,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1805311'], 'posts': ['2117991', '2118001']}"
7,public,24 hours daily,,,2023-05-14,,ELEC,Public,160611,2020-06-12,,E,,STUDIO 1360-STATION 03,888-758-4389,2023-05-14T00:05:31Z,,GPS,34.138937,-118.360574,Los Angeles,,,CA,111 Universal Hollywood Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123355'], 'posts': ['160101', '160103']}"
8,public,24 hours daily,,,2023-05-14,,ELEC,Public,160667,2020-06-12,,E,,USH PARKING WOODY LOT,888-758-4389,2023-05-14T00:05:18Z,,GPS,34.135922,-118.355905,Los Angeles,,,CA,Coral Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL121711'], 'posts': ['538681', '538691']}"
9,public,24 hours daily,,,2023-05-14,,ELEC,Public,160699,2020-06-12,,E,,STUDIO 1260 STATION 02,888-758-4389,2023-05-14T00:05:13Z,,GPS,34.143679,-118.341613,Los Angeles,,,CA,100 Universal Hollywood dr.,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL120849'], 'posts': ['155023', '155025']}"
10,public,24 hours daily,,,2023-05-14,,ELEC,Public,164511,2020-07-24,,E,,3625 Cahuenga Blvd,855-900-7584,2023-05-14T00:38:34Z,,GPS,34.134504,-118.36019,Los Angeles,,,CA,3625 Cahuenga Blvd,90068,US,,,,,,,,,,,,['J1772'],,,1,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['2611'], 'posts': ['12519A']}"
11,public,24 hours daily,,,2023-05-14,,ELEC,Public,176462,2021-01-27,,E,,6080 CENTER DR HHC22-6080,888-758-4389,2023-05-14T00:15:42Z,,GPS,33.976007,-118.391924,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1805011'], 'posts': ['2117651', '2117661']}"
12,public,24 hours daily,,,2023-05-14,,ELEC,Public,176463,2021-01-27,,E,,6080 CENTER DR HHC20-6080,888-758-4389,2023-05-14T00:15:42Z,,GPS,33.976054,-118.391897,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1804991'], 'posts': ['2117621', '2117631']}"
13,public,24 hours daily,,,2023-05-14,,ELEC,Public,176464,2021-01-27,,E,,6080 CENTER DR HHC21-6080,888-758-4389,2023-05-14T00:15:42Z,,GPS,33.976047,-118.391893,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL1804981'], 'posts': ['2117601', '2117611']}"
14,public,24 hours daily,,,2023-05-14,,ELEC,Public,176465,2021-01-27,,E,,6080 CENTER DR HHC7-6080,888-758-4389,2023-05-14T00:10:09Z,,GPS,33.975943,-118.391926,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL228148'], 'posts': ['949651', '949661']}"
15,public,24 hours daily,,,2023-05-14,,ELEC,Public,176466,2021-01-27,,E,,6080 CENTER DR HHC8-6080,888-758-4389,2023-05-14T00:10:09Z,,GPS,33.975921,-118.391905,Los Angeles,,,CA,6080 Center Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL228146'], 'posts': ['310706', '310708']}"
16,public,24 hours daily,,,2023-05-14,,ELEC,Public,179193,2021-01-27,,E,,STUDIO 1360-STATION 04,888-758-4389,2023-05-14T00:05:31Z,,GPS,34.138948,-118.36055,Los Angeles,,,CA,111 Universal Hollywood Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123353'], 'posts': ['160097', '160099']}"
17,public,24 hours daily,,,2023-05-14,,ELEC,Public,179194,2021-01-27,,E,,STUDIO 1360-STATION 02,888-758-4389,2023-05-14T00:05:29Z,,GPS,34.138937,-118.360597,Los Angeles,,,CA,111 Universal Hollywood Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123113'], 'posts': ['159595', '159597']}"
18,public,24 hours daily,,,2023-05-14,,ELEC,Public,227654,2022-09-16,,E,,10UCP PRKG LVL 5 - J,888-758-4389,2023-05-14T00:32:15Z,,GPS,34.137506,-118.361413,Los Angeles,,,CA,111 Universal Hollywood Dr,90068,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13054021'], 'posts': ['22361031', '22361041']}"
